1,Acholi
2,Afrikaans
3,Akan
4,Albanian
5,Amharic
6,Arabic
7,Ashante
8,Asl
9,Assyrian
10,Azerbaijani
11,Azeri
12,Bajuni
13,Basque
14,Behdini
15,Belorussian
16,Bengali
17,Berber
18,Bosnian
19,Bravanese
20,Bulgarian
21,Burmese
22,Cakchiquel
23,Cambodian
24,Cantonese
25,Catalan
26,Chaldean
27,Chamorro
28,Chao-chow
29,Chavacano
30,Chin
31,Chuukese
32,Cree
33,Croatian
34,Czech
35,Dakota
36,Danish
37,Dari
38,Dinka
39,Diula
40,Dutch
41,Edo
42,English
43,Estonian
44,Ewe
45,Fante
46,Farsi
47,Fijian Hindi
48,Finnish
49,Flemish
50,French
51,French Canadian
52,Fukienese
53,Fula
54,Fulani
55,Fuzhou
56,Ga
57,Gaddang
58,Gaelic
59,Gaelic-irish
60,Gaelic-scottish
61,Georgian
62,German
63,Gorani
64,Greek
65,Gujarati
66,Haitian Creole
67,Hakka
68,Hakka-chinese
69,Hausa
70,Hebrew
71,Hindi
72,Hmong
73,Hungarian
74,Ibanag
75,Ibo
76,Icelandic
77,Igbo
78,Ilocano
79,Indonesian
80,Inuktitut
81,Italian
82,Jakartanese
83,Japanese
84,Javanese
85,Kanjobal
86,Karen
87,Karenni
88,Kashmiri
89,Kazakh
90,Kikuyu
91,Kinyarwanda
92,Kirundi
93,Korean
94,Kosovan
95,Kotokoli
96,Krio
97,Kurdish
98,Kurmanji
99,Kyrgyz
100,Lakota
101,Laotian
102,Latvian
103,Lingala
104,Lithuanian
105,Luganda
106,Luo
107,Maay
108,Macedonian
109,Malay
110,Malayalam
111,Maltese
112,Mandarin
113,Mandingo
114,Mandinka
115,Marathi
116,Marshallese
117,Mien
118,Mina
119,Mirpuri
120,Mixteco
121,Moldavan
122,Mongolian
123,Montenegrin
124,Navajo
125,Neapolitan
126,Nepali
127,Nigerian Pidgin
128,Norwegian
129,Oromo
130,Pahari
131,Papago
132,Papiamento
133,Pashto
134,Patois
135,Pidgin English
136,Polish
137,Portug.creole
138,Portuguese
139,Pothwari
140,Pulaar
141,Punjabi
142,Putian
143,Quichua
144,Romanian
145,Russian
146,Samoan
147,Serbian
148,Shanghainese
149,Shona
150,Sichuan
151,Sicilian
152,Sinhalese
153,Slovak
154,Somali
155,Sorani
156,Spanish
157,Sudanese Arabic
158,Sundanese
159,Susu
160,Swahili
161,Swedish
162,Sylhetti
163,Tagalog
164,Taiwanese
165,Tajik
166,Tamil
167,Telugu
168,Thai
169,Tibetan
170,Tigre
171,Tigrinya
172,Toishanese
173,Tongan
174,Toucouleur
175,Trique
176,Tshiluba
177,Turkish
178,Twi
179,Ukrainian
180,Urdu
181,Uyghur
182,Uzbek
183,Vietnamese
184,Visayan
185,Welsh
186,Wolof
187,Yiddish
188,Yoruba
189,Yupik
